cell_line,phase,time_point,old_centroids,new_centroids
mutant,Maintenance,60,74,26
mutant,Maintenance,60,18,5
mutant,Maintenance,60,168,60
mutant,Initiation,0,113,0
mutant,Initiation,0,38,4
mutant,Initiation,0,65,13
mutant,Initiation,0,12,3
mutant,Initiation,0,44,0
mutant,Initiation,0,101,0
mutant,Initiation,0,121,0
mutant,Initiation,0,158,0
mutant,Initiation,0,80,16
mutant,Initiation,0,138,27
mutant,Initiation,0,55,0
mutant,Initiation,0,54,0
mutant,Initiation,0,53,14
mutant,Initiation,0,57,0
mutant,Initiation,0,252,0
mutant,Initiation,0,68,0
mutant,Initiation,0,134,2
mutant,Initiation,0,168,27
mutant,Initiation,0,86,22
mutant,Initiation,60,112,15
mutant,Initiation,60,174,21
mutant,Initiation,60,64,11
mutant,Initiation,60,251,32
mutant,Initiation,60,197,5
mutant,Initiation,60,102,36
mutant,Initiation,60,60,11
mutant,Initiation,60,161,0
mutant,Initiation,60,155,0
mutant,Initiation,60,99,24
mutant,Initiation,60,105,20
mutant,Initiation,60,140,0
mutant,Initiation,60,265,0
mutant,Initiation,60,78,17
mutant,Initiation,60,170,51
mutant,Initiation,60,185,6
mutant,Initiation,60,83,27
mutant,Initiation,60,299,110
mutant,Initiation,60,57,0
mutant,Initiation,60,52,19
mutant,Initiation,60,119,23
mutant,Initiation,60,58,0
mutant,Initiation,100,29,2
mutant,Initiation,100,85,19
mutant,Initiation,100,136,2
mutant,Initiation,100,223,0
mutant,Initiation,100,59,12
mutant,Initiation,100,171,20
mutant,Initiation,100,93,3
mutant,Initiation,100,62,4
mutant,Initiation,100,185,10
mutant,Initiation,100,417,0
mutant,Initiation,100,110,17
mutant,Initiation,100,223,70
mutant,Initiation,100,56,6
mutant,Initiation,100,156,39
mutant,Initiation,100,66,8
mutant,Initiation,100,107,19
mutant,Initiation,100,51,0
mutant,Initiation,100,61,10
mutant,Initiation,100,76,19
mutant,Initiation,100,94,6
mutant,Initiation,100,63,20
mutant,Initiation,140,308,0
mutant,Initiation,140,98,11
mutant,Initiation,140,27,8
mutant,Initiation,140,92,6
mutant,Initiation,140,74,0
mutant,Initiation,140,241,10
mutant,Initiation,140,43,7
mutant,Initiation,140,116,23
mutant,Initiation,140,50,0
mutant,Initiation,140,55,17
mutant,Initiation,140,89,25
mutant,Initiation,140,64,0
mutant,Initiation,140,137,29
mutant,Initiation,140,149,27
mutant,Initiation,140,344,0
mutant,Initiation,140,36,10
mutant,Initiation,140,143,54
mutant,Initiation,140,153,24
mutant,Initiation,140,391,47
mutant,Initiation,140,172,26
mutant,Initiation,140,247,46
mutant,Initiation,140,189,0
mutant,Initiation,180,144,29
mutant,Initiation,180,234,38
mutant,Initiation,180,103,0
mutant,Initiation,180,124,8
mutant,Initiation,180,160,54
mutant,Initiation,180,113,32
mutant,Initiation,180,282,0
mutant,Initiation,180,58,8
mutant,Initiation,180,260,18
mutant,Initiation,180,80,20
mutant,Initiation,180,289,18
mutant,Initiation,180,99,16
mutant,Initiation,180,76,1
mutant,Initiation,180,43,16
mutant,Initiation,180,244,71
mutant,Initiation,180,167,68
mutant,Initiation,180,90,30
mutant,Initiation,180,70,0
mutant,Initiation,180,81,23
mutant,Initiation,220,93,14
mutant,Initiation,220,42,6
mutant,Initiation,220,39,20
mutant,Initiation,220,134,53
mutant,Initiation,220,36,14
mutant,Initiation,220,162,80
mutant,Initiation,220,100,48
mutant,Initiation,220,167,8
mutant,Initiation,220,210,10
mutant,Initiation,220,86,41
mutant,Initiation,220,454,35
mutant,Initiation,220,131,28
mutant,Initiation,220,390,119
mutant,Initiation,220,195,55
mutant,Initiation,220,354,55
mutant,Initiation,220,150,76
mutant,Initiation,220,125,43
mutant,Initiation,220,290,49
mutant,Initiation,220,272,96
mutant,Initiation,220,352,37
mutant,Maintenance,0,54,7
mutant,Maintenance,0,53,1
mutant,Maintenance,0,59,6
mutant,Maintenance,0,36,6
mutant,Maintenance,0,417,0
mutant,Maintenance,0,97,8
mutant,Maintenance,0,64,1
mutant,Maintenance,0,50,12
mutant,Maintenance,0,35,0
mutant,Maintenance,0,51,0
mutant,Maintenance,0,52,0
mutant,Maintenance,0,13,1
mutant,Maintenance,0,24,0
mutant,Maintenance,0,72,0
mutant,Maintenance,0,96,9
mutant,Maintenance,0,38,2
mutant,Maintenance,0,15,3
mutant,Maintenance,0,7,0
mutant,Maintenance,0,33,0
mutant,Maintenance,0,9,0
mutant,Maintenance,0,28,3
mutant,Maintenance,0,149,0
mutant,Maintenance,0,165,20
mutant,Maintenance,60,52,2
mutant,Maintenance,60,54,16
mutant,Maintenance,60,62,6
